batch_id,timestamp,machine_id,operator_id,shift,temperature,pressure,humidity,speed,material_grade,defect_type,defect_count
B00001,2024-07-01 00:00:00.000000000,M7,OP19,Morning,200.5,52.4,41.9,102.1,A,None,0
B00002,2024-07-01 00:13:06.318631863,M4,OP03,Morning,199.7,49.3,55.3,92.2,B,None,0
B00003,2024-07-01 00:26:12.637263726,M8,OP11,Morning,213.1,59.5,70.6,101.7,B,None,0
B00004,2024-07-01 00:39:18.955895589,M5,OP07,Night,192.2,42.1,46.2,112.0,B,None,0
B00005,2024-07-01 00:52:25.274527452,M7,OP17,Afternoon,213.1,46.8,44.9,98.3,C,Structural,1
B00006,2024-07-01 01:05:31.593159315,M10,OP09,Afternoon,206.0,52.7,55.2,88.6,B,None,0
B00007,2024-07-01 01:18:37.911791179,M3,OP09,Night,218.6,50.7,48.4,88.7,B,None,0
B00008,2024-07-01 01:31:44.230423042,M7,OP10,Night,194.3,51.7,46.3,108.9,A,None,0
B00009,2024-07-01 01:44:50.549054905,M8,OP13,Afternoon,195.6,37.2,62.4,97.2,B,None,0
B00010,2024-07-01 01:57:56.867686768,M5,OP15,Morning,202.1,49.3,62.2,99.7,A,None,0
B00011,2024-07-01 02:11:03.186318631,M4,OP05,Morning,199.1,50.0,52.3,102.5,A,None,0
B00012,2024-07-01 02:24:09.504950495,M8,OP03,Morning,211.5,52.4,44.8,79.3,B,None,0
B00013,2024-07-01 02:37:15.823582358,M8,OP08,Morning,196.8,51.4,53.1,108.3,B,None,0
B00014,2024-07-01 02:50:22.142214221,M3,OP20,Morning,184.1,50.1,58.2,114.5,C,None,0
B00015,2024-07-01 03:03:28.460846084,M6,OP10,Morning,220.3,49.6,60.8,96.7,B,None,0
B00016,2024-07-01 03:16:34.779477947,M5,OP13,Night,228.7,45.0,59.0,99.1,A,Surface,2
B00017,2024-07-01 03:29:41.098109810,M2,OP03,Night,176.5,51.4,29.3,105.6,B,None,0
B00018,2024-07-01 03:42:47.416741674,M8,OP08,Morning,207.2,49.5,53.9,96.2,A,None,0
B00019,2024-07-01 03:55:53.735373537,M6,OP09,Morning,211.2,48.3,56.2,108.7,C,None,0
B00020,2024-07-01 04:09:00.054005400,M2,OP12,Morning,203.7,49.9,57.4,104.1,A,None,0
B00021,2024-07-01 04:22:06.372637263,M5,OP11,Morning,223.6,48.6,52.9,110.1,B,None,0
B00022,2024-07-01 04:35:12.691269126,M1,OP02,Morning,179.9,44.2,50.3,90.7,B,Structural,5
B00023,2024-07-01 04:48:19.009900990,M10,OP18,Night,191.5,52.6,47.7,102.8,B,None,0
B00024,2024-07-01 05:01:25.328532853,M6,OP09,Morning,201.6,57.5,43.7,103.3,B,None,0
B00025,2024-07-01 05:14:31.647164716,M9,OP02,Morning,213.8,51.1,44.9,105.7,C,None,0
B00026,2024-07-01 05:27:37.965796579,M1,OP02,Morning,218.1,51.2,61.1,99.0,A,None,0
B00027,2024-07-01 05:40:44.284428442,M10,OP03,Night,181.9,56.0,55.7,92.6,A,None,0
B00028,2024-07-01 05:53:50.603060306,M3,OP16,Night,173.4,57.6,56.6,88.2,C,None,0
B00029,2024-07-01 06:06:56.921692169,M7,OP19,Night,211.7,49.3,45.5,95.6,C,None,0
B00030,2024-07-01 06:20:03.240324032,M4,OP04,Afternoon,201.7,47.1,54.3,94.9,B,Surface,3
B00031,2024-07-01 06:33:09.558955895,M9,OP18,Morning,202.5,51.7,64.7,96.6,C,Surface,3
B00032,2024-07-01 06:46:15.877587758,M3,OP20,Morning,212.1,50.6,51.1,98.5,B,None,0
B00033,2024-07-01 06:59:22.196219621,M5,OP18,Afternoon,187.9,53.9,56.3,89.8,B,None,0
B00034,2024-07-01 07:12:28.514851485,M3,OP10,Night,196.4,50.0,46.0,91.8,B,None,0
B00035,2024-07-01 07:25:34.833483348,M7,OP11,Morning,207.9,50.3,46.9,96.3,C,Structural,3
B00036,2024-07-01 07:38:41.152115211,M5,OP17,Morning,185.7,46.2,52.3,103.2,A,None,0
B00037,2024-07-01 07:51:47.470747074,M9,OP20,Afternoon,191.9,54.1,44.4,94.8,A,None,0
B00038,2024-07-01 08:04:53.789378937,M7,OP16,Morning,201.6,47.5,44.0,103.2,B,Structural,2
B00039,2024-07-01 08:18:00.108010801,M2,OP20,Afternoon,207.9,45.2,48.6,113.8,A,None,0
